,Oro,Argento,Rame,Petrolio (WTI),Treasury USA 20+,Nasdaq 100,Energy,Healthcare,Financials,Value (S&P500),Consumer Staples,Small Cap (Russell 2000),Real Estate (REIT),Difesa & Aerospazio,Semiconduttori,USA (S&P 500),Mercati Emergenti,Europa,Germania,Regno Unito,Cina,Giappone,America Latina,Corea del Sud,Australia,Canada,Taiwan,MSCI World
Consumer Staples,0.17531852866544037,0.2068870650098951,0.24952007251675992,0.1718282261172505,0.0923254224046547,0.5337399305885911,0.4277168244827661,0.6915044126716916,0.5737649844761341,0.7367465607146656,1.0,0.5565733272881356,0.6408588558607679,0.5750717108810568,0.38164029736713095,0.7040479638458801,0.5207596468942124,0.6752894591258982,0.6204039692185598,0.6587149648018766,0.32011074248401067,0.5292268733962616,0.487543330186607,0.4422053171689908,0.6077635761479869,0.5850283839469251,0.4266099897223236,0.7018173975288264
Small Cap (Russell 2000),0.024086528014954124,0.20572095624728395,0.4338394970991324,0.33782269648022994,-0.1331610398615314,0.7890385271233661,0.6256478305185083,0.6571327585789805,0.8197287061583628,0.8931727728586674,0.5565733272881356,1.0,0.7371095407761229,0.7968891416755906,0.7310054167816602,0.8877745965767341,0.6982372298545195,0.758790775025188,0.7406656943857642,0.7330039710281877,0.409082866411778,0.6865643304023951,0.5843554558497737,0.6607062385099755,0.7565496949504361,0.7799966586906286,0.6508126471554389,0.8712688690047902
Real Estate (REIT),0.1281596875360147,0.20184165397447706,0.3348475368121228,0.169985322070393,0.14887860199145,0.6183383484597905,0.4092482216060302,0.5917796528523555,0.7225983082564149,0.7725663816023112,0.6408588558607679,0.7371095407761229,1.0,0.6197317869861737,0.5024765462686029,0.7384636550965462,0.6125985831121635,0.6985271592357444,0.6719465924351874,0.6599396126367412,0.3496619606987766,0.5856373036176027,0.5125401557954343,0.5541354495772154,0.713227525764518,0.6635542541562407,0.5678505638027289,0.7429474963611855
Difesa & Aerospazio,0.038332866592838646,0.18208809511863464,0.3641230097872781,0.29481898663198525,-0.16250793983132952,0.668049816522843,0.5907063955252101,0.6065798115224754,0.7483237594454165,0.8237524643019026,0.5750717108810568,0.7968891416755906,0.6197317869861737,1.0,0.5801937122990333,0.7920705168382511,0.6135829672965514,0.7313376840956486,0.7117367170263629,0.7268652096723248,0.36891265095643466,0.6408040552514145,0.5781674558465861,0.5990822726549441,0.6662888338629095,0.7133152727250667,0.5347536404832319,0.7892136070356489
Semiconduttori,0.0009649191600344552,0.16740441457289026,0.41012932813183683,0.1923725453777477,-0.045368242830127886,0.8459826252739341,0.367196554779825,0.46784778706281444,0.5535113490958047,0.6709155171752256,0.38164029736713095,0.7310054167816602,0.5024765462686029,0.5801937122990333,1.0,0.7744753827302889,0.6564221680729865,0.6347530450489144,0.6218120464693835,0.555724757163275,0.34172955867434485,0.6264585213925133,0.4368912718342684,0.7139310046542562,0.5734656432304363,0.5941692270990176,0.7648849433281975,0.7443646395950781
USA (S&P 500),0.08297194687518827,0.25127732865345503,0.46976397681312976,0.3267879422746441,-0.08083112354754322,0.9123943301248651,0.6075841818879771,0.7432496446640164,0.8409744945685991,0.9486107490131561,0.7040479638458801,0.8877745965767341,0.7384636550965462,0.7920705168382511,0.7744753827302889,1.0,0.7521736977540174,0.8531365877672407,0.8240088046745083,0.812469871884236,0.4751614947130931,0.7304943917289003,0.6225387857190039,0.6832527996361057,0.7938293021966443,0.8180474863499964,0.7127234835537665,0.97273768281487
Mercati Emergenti,0.3023808036329566,0.41535255948645894,0.5760925967388223,0.34404540110785464,-0.05228749309262376,0.7079674117911703,0.5323070433240912,0.5186596463719702,0.6256685751786054,0.7318008733323846,0.5207596468942124,0.6982372298545195,0.6125985831121635,0.6135829672965514,0.6564221680729865,0.7521736977540174,1.0,0.8312893156762662,0.8148877351910897,0.8059205723977784,0.7729654951643138,0.6984656958511898,0.7893398988769715,0.848080760393359,0.8421055748081763,0.8164261444538079,0.8487477177295499,0.8190196233014493
Europa,0.1962853837514496,0.34297055080111527,0.5228817767757507,0.37551144564316724,-0.06547499509552639,0.7415087304187534,0.5989036736130089,0.6772973948528287,0.7708038309191391,0.8601683192608336,0.6752894591258982,0.758790775025188,0.6985271592357444,0.7313376840956486,0.6347530450489144,0.8531365877672407,0.8312893156762662,1.0,0.9531386630181397,0.9543567373928977,0.5837870520517019,0.763938055407511,0.7237689930352975,0.7180160934528924,0.8520810549905234,0.8373222919811633,0.7112670831889261,0.9302260375727971
Germania,0.1894597317377492,0.34086263964918867,0.45521288613605015,0.330345826940109,-0.05588899626691907,0.7329309257065277,0.5561685885952027,0.6330814365596913,0.7483969822398643,0.8237799398723566,0.6204039692185598,0.7406656943857642,0.6719465924351874,0.7117367170263629,0.6218120464693835,0.8240088046745083,0.8148877351910897,0.9531386630181397,1.0,0.8740035830851479,0.5829210074754105,0.7489312337401307,0.6814909259470456,0.711449069115676,0.803280163789378,0.7917141383008838,0.6887521285600686,0.8919946895691206
Regno Unito,0.19731579466895446,0.35064829211076354,0.5487973284129205,0.4479711215343827,-0.14139668163651767,0.672023699363458,0.7034446694297134,0.6357610605355674,0.7552710094829183,0.845974077732059,0.6587149648018766,0.7330039710281877,0.6599396126367412,0.7268652096723248,0.555724757163275,0.812469871884236,0.8059205723977784,0.9543567373928977,0.8740035830851479,1.0,0.5958325906961792,0.7257738670339998,0.732809309895296,0.6701429381924885,0.8348298506557005,0.855875632871046,0.6637976192818971,0.8936963425123451
Cina,0.23136781971069742,0.2697994409692477,0.4351338199486748,0.2917518539599455,-0.026897654085997695,0.43865361850768797,0.3721290803515875,0.3210015456493083,0.426517785799227,0.4716598835030914,0.32011074248401067,0.409082866411778,0.3496619606987766,0.36891265095643466,0.34172955867434485,0.4751614947130931,0.7729654951643138,0.5837870520517019,0.5829210074754105,0.5958325906961792,1.0,0.46966854310630457,0.5244496876216799,0.5093062467847842,0.5988687369662475,0.5556714202332678,0.560442493471493,0.5462300794648358
Giappone,0.09239951916340158,0.22669369772717687,0.3626923417977422,0.2500947911938612,0.00929730003234146,0.6598287569755812,0.44601655584970135,0.5815517352006861,0.6571167106783958,0.7269700473938341,0.5292268733962616,0.6865643304023951,0.5856373036176027,0.6408040552514145,0.6264585213925133,0.7304943917289003,0.6984656958511898,0.763938055407511,0.7489312337401307,0.7257738670339998,0.46966854310630457,1.0,0.5430229538015335,0.6687011039359871,0.7035646936119279,0.6552830988454034,0.625836637572794,0.7879160233830934
America Latina,0.31061450575555355,0.38510747724130073,0.5139367891572528,0.44019785613542134,-0.14349420590894052,0.5150873227176879,0.6245823624719333,0.4567346549415677,0.5606147384294768,0.6602487672207369,0.487543330186607,0.5843554558497737,0.5125401557954343,0.5781674558465861,0.4368912718342684,0.6225387857190039,0.7893398988769715,0.7237689930352975,0.6814909259470456,0.732809309895296,0.5244496876216799,0.5430229538015335,1.0,0.6098514304628658,0.759118034877331,0.7833823094790071,0.592232862510559,0.6994077082787067
Corea del Sud,0.2512488618036684,0.35894728036900964,0.5078087618335135,0.2253335267889791,0.02100577010411109,0.6727023681897011,0.4316709377943312,0.4558259684576067,0.5216852986150694,0.6561977288440921,0.4422053171689908,0.6607062385099755,0.5541354495772154,0.5990822726549441,0.7139310046542562,0.6832527996361057,0.848080760393359,0.7180160934528924,0.711449069115676,0.6701429381924885,0.5093062467847842,0.6687011039359871,0.6098514304628658,1.0,0.7062565260830223,0.6745757732248463,0.8210141706778312,0.7208473901937646
Australia,0.268181511181278,0.39527935212208826,0.5603132239672831,0.3807742605869654,0.00031890365213971424,0.6903629139279885,0.5938227550352344,0.5930126316782378,0.7048450080457405,0.7979583926480605,0.6077635761479869,0.7565496949504361,0.713227525764518,0.6662888338629095,0.5734656432304363,0.7938293021966443,0.8421055748081763,0.8520810549905234,0.803280163789378,0.8348298506557005,0.5988687369662475,0.7035646936119279,0.759118034877331,0.7062565260830223,1.0,0.8428464745443448,0.695532358591014,0.8593443933717545
Canada,0.30318961204323486,0.43356712363203714,0.5964433763536275,0.4557928551384802,-0.11977643259130764,0.6991600314423587,0.7079296643767792,0.5882321969562413,0.7270025813078875,0.8299088684506729,0.5850283839469251,0.7799966586906286,0.6635542541562407,0.7133152727250667,0.5941692270990176,0.8180474863499964,0.8164261444538079,0.8373222919811633,0.7917141383008838,0.855875632871046,0.5556714202332678,0.6552830988454034,0.7833823094790071,0.6745757732248463,0.8428464745443448,1.0,0.6840278991639261,0.8688985510573008
Taiwan,0.16191347163986972,0.2980939318969374,0.5086563194024526,0.22811038837199682,0.001170358824516168,0.7330760332231018,0.40571092392825,0.40213614142101006,0.5480429513610506,0.6519192117915109,0.4266099897223236,0.6508126471554389,0.5678505638027289,0.5347536404832319,0.7648849433281975,0.7127234835537665,0.8487477177295499,0.7112670831889261,0.6887521285600686,0.6637976192818971,0.560442493471493,0.625836637572794,0.592232862510559,0.8210141706778312,0.695532358591014,0.6840278991639261,1.0,0.7430017626333615
MSCI World,0.13844503671884514,0.30838512802713486,0.512507017994779,0.371470003841963,-0.07953879961598966,0.880714567596305,0.6371229518937873,0.7321811402959626,0.8308680155319462,0.9367176065900331,0.7018173975288264,0.8712688690047902,0.7429474963611855,0.7892136070356489,0.7443646395950781,0.97273768281487,0.8190196233014493,0.9302260375727971,0.8919946895691206,0.8936963425123451,0.5462300794648358,0.7879160233830934,0.6994077082787067,0.7208473901937646,0.8593443933717545,0.8688985510573008,0.7430017626333615,1.0
