DATE,PRICE
2005-08-01,$433.00
2005-07-01,$427.15
2005-06-01,$436.80
2005-05-01,$416.90
2005-04-01,$433.20
2005-03-01,$427.50
2005-02-01,$436.55
2005-01-01,$423.80
2004-12-01,$438.00
2004-11-01,$452.00
2004-10-01,$426.20
2004-09-01,$412.35
2004-08-01,$408.10
2004-07-01,$389.60
2004-06-01,$393.75
2004-05-01,$393.85
2004-04-01,$387.30
2004-03-01,$423.00
2004-02-01,$392.25
2004-01-01,$401.30
2003-12-01,$417.25
2003-11-01,$398.10
2003-10-01,$384.60
2003-09-01,$384.50
2003-08-01,$371.00
2003-07-01,$355.75
2003-06-01,$345.15
2003-05-01,$365.80
2003-04-01,$336.00
2003-03-01,$335.35
2003-02-01,$347.65
2003-01-01,$370.35
2002-12-01,$342.75
2002-11-01,$318.25
2002-10-01,$316.35
2002-09-01,$322.40
2002-08-01,$312.40
2002-07-01,$305.50
2002-06-01,$319.05
2002-05-01,$327.25
2002-04-01,$309.35
2002-03-01,$303.00
2002-02-01,$296.55
2002-01-01,$281.50
2001-12-01,$276.50
2001-11-01,$274.70
2001-10-01,$280.95
2001-09-01,$290.85
2001-08-01,$275.35
2001-07-01,$265.55
2001-06-01,$269.90
2001-05-01,$266.10
2001-04-01,$263.45
2001-03-01,$259.05
2001-02-01,$265.00
2001-01-01,$266.20
2000-12-01,$272.65
2000-11-01,$267.00
2000-10-01,$263.80
2000-09-01,$274.10
2000-08-01,$274.95
2000-07-01,$277.40
2000-06-01,$289.15
2000-05-01,$272.25
2000-04-01,$275.85
2000-03-01,$275.90
2000-02-01,$294.00
2000-01-01,$283.05
1999-12-01,$290.85
1999-11-01,$292.00
1999-10-01,$298.85
1999-09-01,$303.75
1999-08-01,$254.60
1999-07-01,$256.75
1999-06-01,$261.20
1999-05-01,$271.05
1999-04-01,$285.85
1999-03-01,$279.80
1999-02-01,$286.80
1999-01-01,$285.65
1998-12-01,$287.45
1998-11-01,$295.75
1998-10-01,$293.10
1998-09-01,$294.10
1998-08-01,$273.40
1998-07-01,$289.40
1998-06-01,$295.75
1998-05-01,$292.40
1998-04-01,$310.70
1998-03-01,$299.90
1998-02-01,$296.55
1998-01-01,$301.80
1997-12-01,$289.20
1997-11-01,$296.90
1997-10-01,$310.40
1997-09-01,$328.75
1997-08-01,$325.40
1997-07-01,$326.00
1997-06-01,$334.05
1997-05-01,$345.75
1997-04-01,$340.45
1997-03-01,$349.50
1997-02-01,$360.60
1997-01-01,$345.00
1996-12-01,$369.55
1996-11-01,$371.90
1996-10-01,$379.30
1996-09-01,$379.30
1996-08-01,$387.25
1996-07-01,$385.50
1996-06-01,$381.30
1996-05-01,$390.55
1996-04-01,$390.15
1996-03-01,$396.70
1996-02-01,$400.35
1996-01-01,$403.20
1995-12-01,$386.70
1995-11-01,$387.85
1995-10-01,$382.40
1995-09-01,$383.75
1995-08-01,$381.65
1995-07-01,$383.35
1995-06-01,$387.60
1995-05-01,$384.25
1995-04-01,$389.50
1995-03-01,$386.55
1995-02-01,$375.70
1995-01-01,$375.85
1994-12-01,$382.50
1994-11-01,$383.35
1994-10-01,$387.40
1994-09-01,$395.35
1994-08-01,$386.25
1994-07-01,$384.05
1994-06-01,$385.40
1994-05-01,$386.25
1994-04-01,$376.45
1994-03-01,$389.70
1994-02-01,$380.75
1994-01-01,$378.20
1993-12-01,$390.65
1993-11-01,$370.80
1993-10-01,$369.10
1993-09-01,$352.65
1993-08-01,$370.60
1993-07-01,$403.70
1993-06-01,$379.00
1993-05-01,$381.00
1993-04-01,$353.45
1993-03-01,$336.90
1993-02-01,$328.75
1993-01-01,$330.75
1992-12-01,$332.90
1992-11-01,$333.70
1992-10-01,$338.80
1992-09-01,$349.00
1992-08-01,$340.50
1992-07-01,$357.95
1992-06-01,$343.40
1992-05-01,$337.55
1992-04-01,$336.25
1992-03-01,$341.50
1992-02-01,$353.05
1992-01-01,$354.15
1991-12-01,$353.40
1991-11-01,$366.85
1991-10-01,$357.40
1991-09-01,$350.50
1991-08-01,$347.00
1991-07-01,$363.60
1991-06-01,$366.90
1991-05-01,$361.55
1991-04-01,$353.45
1991-03-01,$354.00
1991-02-01,$363.00
1991-01-01,$369.60
1990-12-01,$391.00
1990-11-01,$384.80
1990-10-01,$379.25
1990-09-01,$406.10
1990-08-01,$388.10
1990-07-01,$371.10
1990-06-01,$352.40
1990-05-01,$363.70
1990-04-01,$371.55
1990-03-01,$372.20
1990-02-01,$409.10
1990-01-01,$417.55
1989-12-01,$401.00
1989-11-01,$406.80
1989-10-01,$376.05
1989-09-01,$369.00
1989-08-01,$359.60
1989-07-01,$369.10
1989-06-01,$371.15
1989-05-01,$363.50
1989-04-01,$381.30
1989-03-01,$382.30
1989-02-01,$386.75
1989-01-01,$394.85
1988-12-01,$410.15
1988-11-01,$421.30
1988-10-01,$412.30
1988-09-01,$396.15
1988-08-01,$426.35
1988-07-01,$432.70
1988-06-01,$436.85
1988-05-01,$454.00
1988-04-01,$449.75
1988-03-01,$458.00
1988-02-01,$423.75
1988-01-01,$465.25
1987-12-01,$486.50
1987-11-01,$493.90
1987-10-01,$468.00
1987-09-01,$459.15
1987-08-01,$455.90
1987-07-01,$464.25
1987-06-01,$447.10
1987-05-01,$451.75
1987-04-01,$454.50
1987-03-01,$419.00
1987-02-01,$405.75
1987-01-01,$407.30
1986-12-01,$390.90
1986-11-01,$390.00
1986-10-01,$401.50
1986-09-01,$421.20
1986-08-01,$386.00
1986-07-01,$357.75
1986-06-01,$345.50
1986-05-01,$343.35
1986-04-01,$344.75
1986-03-01,$345.50
1986-02-01,$338.25
1986-01-01,$354.00
1985-12-01,$327.00
1985-11-01,$327.40
1985-10-01,$325.75
1985-09-01,$326.50
1985-08-01,$335.75
1985-07-01,$328.10
1985-06-01,$316.50
1985-05-01,$313.15
1985-04-01,$324.65
1985-03-01,$329.80
1985-02-01,$290.50
1985-01-01,$304.90
